interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4b_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"65-07-52-31",3.52,13.26,.55,6.165,14.01,2.369262865090403,8.25,2.3,30.13,8.65,.9617211948790896,10.24,2.189914040114613,2.561504297994269,4.8,109.9574023980784,"00.02:32:47",152.7833333333333,"2023-06-27","09:05:34"
"24-72-94-40",3.93,22.14,1.48,4.97,15.18747126436782,3.76,5.55,2.556551724137931,29.39,6.042600574712644,1.81,20.26,2.49,4.800000000000001,2.57,126.9366235632184,"00.01:59:08",119.1333333333333,"2023-06-27","09:39:21"
"27-52-71-52",2.494899713467049,15.28954022988506,.9398297872340425,3.840975609756097,18.98,2.369262865090403,7.66,2.556551724137931,25.85136494252874,6.042600574712644,.75,64.7,2.31,2.561504297994269,3.737280575539568,160.0838103203458,"00.04:50:53",290.8833333333333,"2023-06-26","06:32:05"
"21-67-72-81",1.74,15.28954022988506,1.29,3.92,23.51,2.369262865090403,6.093055954088952,4.94,24.31,8.220000000000001,1.57,25.02,3.6,4.72,4.56,131.1518590490644,"00.03:04:30",184.5,"2023-06-27","05:47:49"
"40-08-15-69",1.235,26.31,.9398297872340425,3.840975609756097,19.34,.08,6.093055954088952,1.01,27.26,7.05,1.2,12.58,1.94,1.08,4.11,114.0688613510791,"00.02:34:45",154.75,"2023-06-27","09:54:44"
"40-09-03-46",3.47,9.460000000000001,.54,6.165,15.18747126436782,.17,4.72,4.07,23.35,5.03,.35,8.9,1.93,1.81,3.8,88.95247126436782,"00.01:57:52",117.8666666666667,"2023-06-27","06:00:39"
"88-78-79-65",1.235,14.19,1.43,2.61,15.18747126436782,5.16,4.5,2.21,31.96,8.865,1.28,29.92,1.57,1.83,5.44,127.3874712643678,"00.01:55:37",115.6166666666667,"2023-06-27","13:15:11"
"72-36-26-24",3.33,12.82,.66,5.73,10.75,4.04,4.62,4.8,19.52,4.89,.97,7.32,2.01,4.77,4.2,90.43000000000001,"00.01:33:52",93.86666666666666,"2023-06-27","06:02:19"
"07-13-49-69",1.94,16.76,.84,4.95,18.55,6.085,5.93,3.58,41.17,6.33,1.93,26.07,2.59,2.69,5.08,144.495,"00.02:25:29",145.4833333333333,"2023-06-27","05:53:58"
"02-58-47-09",2.494899713467049,15.28954022988506,1.21,3.840975609756097,18.03,5.38,6.22,4.88,25.85136494252874,8.779999999999999,1.19,64.7,1.9,2.35,3.71,165.8267804956369,"00.06:01:28",361.4666666666666,"2023-06-26","10:28:30"
"22-68-37-41",2.04,23.27,.9398297872340425,3.840975609756097,23.68,2.369262865090403,5.13,3.46,40.28,7.72,1.27,21.55,3.05,3.28,2.22,144.1000682620806,"00.02:43:42",163.7,"2023-06-27","10:41:30"
"75-57-77-41",3.44,21.92,.9398297872340425,6.165,14.57,.19,5.96,3.12,30.75,7.91,1.17,14.36,2.52,3.59,3.83,120.4348297872341,"00.02:05:58",125.9666666666667,"2023-06-27","08:19:13"
"04-02-68-66",3.67,18.39,1.33,4.69,14.59,2.369262865090403,6.093055954088952,1.38,41.17,6.042600574712644,.33,21.408,1.23,1.98,3.737280575539568,128.4101999694316,"00.02:58:08",178.1333333333333,"2023-06-27","11:14:23"
"02-25-96-16",2.24,23.85,1.18,4.11,18.09,5.04,6.093055954088952,2.79,26.39,8.865,.9617211948790896,43.67,2.189914040114613,2.561504297994269,3.737280575539568,151.7684760626165,"00.03:14:11",194.1833333333333,"2023-06-27","11:19:33"
"48-71-75-24",1.87,26.31,2.06,4.48,15.18747126436782,3.74,6.093055954088952,2.556551724137931,36.48,7.51,.43,64.7,2.189914040114613,4.76,5.56,183.9269929827093,"00.03:24:02",204.0333333333333,"2023-06-27","06:49:32"
"81-80-02-23",2.95,15.44,.61,3.8,17.03,.23,6.093055954088952,5.12,25.85136494252874,6.042600574712644,.91,21.408,3.6,2.561504297994269,5.4,117.0465257693246,"00.03:39:00",219,"2023-06-27","09:29:08"
"42-14-73-23",5.145,15.28954022988506,.9398297872340425,3.840975609756097,13.63,4.93,6.093055954088952,2.556551724137931,25.85136494252874,6.042600574712644,.29,64.7,1.56,2.561504297994269,3.737280575539568,157.1677036958773,"00.04:48:54",288.9,"2023-06-27","06:53:16"
"76-93-41-01",2.76,8.99,1,5.15,15.18747126436782,.17,6.26,1.72,25.85136494252874,5.91,1.31,11.06,1.52,2.93,4.15,93.96883620689655,"00.02:13:44",133.7333333333333,"2023-06-27","09:39:17"
"95-12-78-81",2.5,15.28954022988506,.9398297872340425,5.08,16.17,6.085,6.093055954088952,3.72,37.28,6.37,.37,64.7,1.55,3.17,4.38,173.697425971208,"00.02:48:27",168.45,"2023-06-27","12:41:43"
"20-49-21-26",1.42,18.05,1.26,2.38,20.05,.07,4.98,2.556551724137931,41.17,7.54,.9,5.55,2.189914040114613,4.800000000000001,3.13,116.0464657642525,"00.03:05:44",185.7333333333333,"2023-06-27","08:53:51"
"93-19-03-86",5.145,14.43,.9398297872340425,3.840975609756097,17.28,.11,6.093055954088952,2.556551724137931,25.85136494252874,6.042600574712644,.52,5.55,1.77,1,3.66,94.78937859245841,"00.01:44:42",104.7,"2023-06-27","12:10:40"
"83-16-53-05",5.145,15.28954022988506,.52,5.08,16.09,6.085,8.130000000000001,1.67,25.58,5.06,2.04,10.73,2.189914040114613,2.561504297994269,3.737280575539568,109.9082391435335,"00.03:42:58",222.9666666666667,"2023-06-27","06:40:39"
"96-79-62-23",2.53,13.84,2.105,3.76,19.24,2.99,3.835,1.34,30.54,5.95,.5,17.59,2.76,1.34,2.2,110.52,"00.01:47:04",107.0666666666667,"2023-06-28","08:00:39"
