interview__key,r_buyers__id,sl_amt
"07-04-06-31","Direct buyers /open-air market","More than 80%"
"00-51-21-96","Brokers/ middleman","More than 80%"
"18-57-30-30","Brokers/ middleman","More than 80%"
"06-67-52-73","Brokers/ middleman","less than 20%"
"95-39-48-28","Direct buyers /open-air market","41-60%"
"91-48-09-94","Direct buyers /open-air market","More than 80%"
"19-25-10-78","Brokers/ middleman","More than 80%"
"71-72-13-14","Brokers/ middleman","21-40%"
"03-15-75-14","Brokers/ middleman","More than 80%"
"44-83-75-40","Brokers/ middleman","21-40%"
"50-57-49-63","Brokers/ middleman","41-60%"
"62-41-43-18","Brokers/ middleman","21-40%"
"28-20-80-35","Direct buyers /open-air market","41-60%"
"28-20-80-35","Brokers/ middleman","61-80%"
"68-55-46-57","Brokers/ middleman","More than 80%"
"40-53-56-12","Brokers/ middleman","More than 80%"
"27-46-53-11","Brokers/ middleman","More than 80%"
"08-92-74-48","Brokers/ middleman","41-60%"
"59-22-70-12","Direct buyers /open-air market","More than 80%"
"02-60-78-89","Brokers/ middleman","More than 80%"
"16-17-09-10","Brokers/ middleman","less than 20%"
"37-69-53-39","Brokers/ middleman","More than 80%"
"86-69-42-68","Brokers/ middleman","More than 80%"
"20-42-84-32","Direct buyers /open-air market","less than 20%"
"20-42-84-32","Brokers/ middleman","61-80%"
"76-65-87-56","Brokers/ middleman","More than 80%"
"32-43-86-95","Brokers/ middleman","21-40%"
"88-70-65-41","Direct buyers /open-air market","less than 20%"
"11-14-22-98","Brokers/ middleman","21-40%"
"31-06-08-24","Brokers/ middleman","More than 80%"
"01-43-23-45","Brokers/ middleman","less than 20%"
"13-55-89-83","Brokers/ middleman","21-40%"
"34-71-86-92","Brokers/ middleman","41-60%"
"59-34-02-76","Brokers/ middleman","41-60%"
"28-05-35-45","Brokers/ middleman","61-80%"
"30-60-59-31","Brokers/ middleman","less than 20%"
"35-42-89-22","Brokers/ middleman","More than 80%"
"59-28-36-67","Direct buyers /open-air market","61-80%"
"59-28-36-67","Brokers/ middleman","41-60%"
"86-03-36-52","Brokers/ middleman","41-60%"
"23-49-64-16","Brokers/ middleman","61-80%"
"08-79-12-23","Brokers/ middleman","21-40%"
