interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"75-25-98-04",10000,0,0,6000,0,0,0,0
"09-00-12-98",3100,22000,4100,9000,3500,0,1500,2000
"13-38-59-03",1400,0,6000,7200,3000,0,5000,0
"26-77-14-31",1500,10000,0,6000,0,0,300,0
"04-52-21-75",3100,18900,3000,9500,3000,0,2000,0
"49-10-89-14",4300,15900,1500,9400,8000,0,1000,1000
"15-13-85-83",2325,21000,1600,6500,6000,0,5000,2000
"81-99-34-25",3000,3000,2000,5000,10000,0,0,0
"96-35-08-20",1550,11200,2800,5000,1200,0,400,400
"78-02-12-77",1880,0,3300,5000,4000,0,0,0
"66-37-18-93",5040,15900,1200,9400,10000,0,1000,500
"77-89-79-33",4550,10050,5000,14400,17000,0,1500,5000
"09-97-47-73",1550,10500,900,5000,10000,0,600,2000
"62-45-31-86",8400,0,0,0,30000,0,0,0
"96-13-78-99",2500,0,0,0,3000,0,0,0
"25-35-15-07",9000,0,0,0,6000,0,0,1500
"10-80-25-79",,,,,,,,
"46-89-14-96",1400,0,0,0,3000,0,400,600
"80-24-04-77",,,,,,,,
"26-82-89-21",2400,0,0,0,10000,0,0,0
"22-43-50-27",3000,0,0,10000,2500,3000,800,0
"41-41-55-55",1800,0,0,0,5000,0,500,1000
"26-69-32-41",5100,0,0,0,15000,0,0,0
"68-81-12-32",5000,0,0,0,10000,0,0,0
"46-49-14-82",3000,0,0,0,4000,0,0,0
"92-16-89-27",,,,,,,,
"01-28-41-84",,,,,,,,
"23-46-40-42",1200,6000,800,2250,0,0,500,1000
"93-71-36-41",,,,,,,,
"07-56-93-09",1500,0,0,0,9500,0,0,0
"40-07-12-46",,,,,,,,
"68-88-48-96",6200,48000,3600,20000,11400,40000,400,18000
"86-70-18-69",1085,12000,2600,4700,4000,0,200,0
"82-09-53-31",,,,,,,,
"10-84-11-85",,,,,,,,
"93-36-47-93",,,,,,,,
"40-02-31-47",4800,0,0,0,3000,0,0,0
"35-25-14-79",3000,0,0,0,0,0,0,0
"96-32-88-00",,,,,,,,
"30-07-79-13",4800,0,0,0,3000,0,600,4500
"05-61-96-62",2170,0,1200,10000,3000,0,1000,0
"37-32-16-74",5000,0,0,0,10000,0,0,0
"06-96-64-70",,,,,,,,
"74-21-41-84",900,0,0,0,2000,0,0,0
"82-96-41-85",8850,0,3250,10000,3300,0,1000,0
"58-44-33-27",,,,,,,,
"88-25-56-87",,,,,,,,
"86-98-25-96",1408,0,400,3000,1000,5000,500,0
"09-54-26-75",,,,,,,,
"41-61-78-73",4200,0,0,0,0,0,0,1500
"90-86-53-30",,,,,,,,
