interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"07-50-91-84","Firewood",4,"Bale / Bundle","","Yes",2,"Bale / Bundle","","No",400,"No",,"Slight decrease","Massive decrease","","population growth"
"07-50-91-84","Wood for charcoal production",2,"Bale / Bundle","","Yes",2,"Bale / Bundle","","No",400,"No",,"Massive decrease","Massive decrease","","Reduction of availability of trees"
"87-71-97-91","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","large increase in population"
"72-05-40-32","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population growth"
"87-43-28-28","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","competition is high"
"87-43-28-28","Wild fruits",1,"Gorogoro","","No",,,"",,,"No",,"The same","The same","",""
"02-59-28-55","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"41-71-16-88","Firewood",96,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Increased cutting of trees for charcoal production in the area and clearing of land for residential purposes."
"91-57-08-43","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","tree cover removal"
"63-99-85-70","Firewood",600,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"63-99-85-70","Wood for charcoal production",1000,"90 kg bag","","Yes",1000,"90 kg bag","","Yes",450,"No",,"Slight decrease","Massive decrease","","increased number of people harvesting charcoal"
"65-43-78-90","Firewood",150,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"65-43-78-90","Wood for charcoal production",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase and clearing of cropland"
"37-38-94-21","Firewood",40,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"37-38-94-21","Wood for charcoal production",8,"100 kg bag","","Yes",8,"100 kg bag","","Yes",200,"No",,"Slight decrease","Massive decrease","","Deforestation"
"77-42-43-43","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","defforestation"
"77-42-43-43","Honey",2,"Debe","","Yes",2,"Debe","","No",6000,"Yes",300,"Slight decrease","Massive decrease","","charcoal burning"
"68-60-50-68","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population growth"
"46-89-69-47","Firewood",96,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","logs depletes"
"46-89-69-47","Wood for charcoal production",30,"90 kg bag","","Yes",22,"90 kg bag","","No",500,"No",,"Slight decrease","Slight decrease","","logs depletes"
"46-89-69-47","Timber or poles",50,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","heavy exploitation"
"46-89-69-47","Wild fruits",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","indigeneous plants depletes"
"46-89-69-47","Medicinal plants",1,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Indeginous plants  depletes"
"46-72-66-83","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"25-02-52-66","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"25-02-52-66","Honey",25,"Kilograms","","Yes",25,"Kilograms","","No",560,"No",,"Massive decrease","Massive decrease","","drought"
"55-56-28-22","Firewood",300,"Gorogoro","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"99-17-74-11","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","increased prosopis in the area",""
"46-53-61-02","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population growth"
"10-77-75-51","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"10-77-75-51","Wood for charcoal production",50,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"71-70-88-23","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
