interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s14_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"17-23-66-97",2.06,18.18393939393939,1.466543209876543,3.918877005347594,4.434168126094571,9.5,5.030604982206405,5.061836007130124,23.83916221033868,6.207379679144385,2.109,17.17390374331551,2.964999999999999,5.958,2.99,3.532326820603908,114.4307411779971,"00.03:48:51",228.85,"2023-07-14","06:29:09"
"71-45-81-79",6.13,17.15,1.97,6.29,7.77,.37,5.77,4.77,33.17,5.17,.58,11.19,.79,2.14,4.24,2.17,109.67,"00.01:59:45",119.75,"2023-07-14","13:17:03"
"53-00-83-03",5.42,9.571000000000002,.5,3.918877005347594,4.434168126094571,6.248379790940766,7.22,4.46,26.27,6.19,.3,17.98,1.87,3.03,3.526886120996441,3.532326820603908,104.4716378639833,"00.02:11:07",131.1166666666667,"2023-07-15","06:05:24"
"70-80-16-39",6.39,29.118,2.8,4.48,4.434168126094571,11.86,5.030604982206405,5.061836007130124,23.83916221033868,6.207379679144385,.64,14.36,2.92,2.8,3.526886120996441,6.089,129.5570371259106,"00.03:43:13",223.2166666666667,"2023-07-14","09:24:06"
"11-00-74-85",2.9,16.07,.96,3.42,4.1,5.56,8.17,6.31,26.68,5.28,.4,17.17390374331551,1.77,3.92,3.526886120996441,2.47,108.7107898643119,"00.01:55:01",115.0166666666667,"2023-07-15","09:23:25"
"16-44-32-23",3.94,29.118,1.45,3.918877005347594,4.434168126094571,8.880000000000001,5.030604982206405,5.061836007130124,23.83916221033868,6.207379679144385,.52,25.738,.8100000000000001,2.14,3.98,5.39,130.4580280102618,"00.04:00:15",240.25,"2023-07-14","06:30:46"
"49-09-04-04",4.52,18.18393939393939,1.466543209876543,3.918877005347594,1.85,6.248379790940766,5.030604982206405,5.061836007130124,28.44,8.130000000000001,.49,17.17390374331551,1.568812056737589,3.247140319715808,3.07,3.98,112.3800365092097,"00.04:29:17",269.2833333333334,"2023-07-15","05:42:47"
"33-01-13-01",5.91,18.18393939393939,1.95,3.918877005347594,.13,8.59,8.539999999999999,5.061836007130124,23.83916221033868,8.948999999999998,.47,17.17390374331551,1.568812056737589,3.247140319715808,3.526886120996441,3.68,114.7395568575211,"00.03:17:05",197.0833333333333,"2023-07-15","05:39:14"
"79-39-40-36",3.610871886120997,13.27,1.466543209876543,6.09,.63,.32,7.91,6.35,23.83916221033868,8.948999999999998,.5,10.3,2.42,3.247140319715808,3.526886120996441,4.61,97.03960374704847,"00.05:16:12",316.2,"2023-07-14","04:42:28"
"65-53-51-27",2.52,16.27,.99,5.35,4.434168126094571,1.1,6.38,5.061836007130124,21.85,6.15,.7,12.12,2.85,3.4,3.526886120996441,5.33,98.03289025422114,"00.03:28:08",208.1333333333333,"2023-07-14","13:17:45"
"64-11-62-56",3.88,29.118,1.466543209876543,3.918877005347594,4.434168126094571,6.248379790940766,5.030604982206405,5.061836007130124,23.83916221033868,6.207379679144385,.58,17.17390374331551,2.69,5.958,3.526886120996441,3.532326820603908,122.6660676959949,"00.06:44:42",404.7,"2023-07-14","07:07:40"
"79-53-04-50",4.04,29.118,.61,3.36,5.34,.17,7.97,3.65,35.239,7.17,1.25,17.28,2.964999999999999,4.75,3.526886120996441,2.71,129.1488861209965,"00.02:23:49",143.8166666666667,"2023-07-15","11:30:25"
"14-13-86-20",3.1,12.39,2.99,6.29,.24,5.27,8.42,5.39,30.84,5.35,.48,21.01,2.14,3.16,7.5,2.97,117.54,"00.02:33:54",153.9,"2023-07-15","11:37:54"
"19-99-67-92",6.4,14.65,1.14,4.12,8.710000000000001,6.71,7.18,8.75,29.58,8.948999999999998,.8,9.731000000000002,2.964999999999999,4.33,3.526886120996441,2.91,120.4518861209964,"00.02:15:45",135.75,"2023-07-14","06:56:00"
"65-80-65-49",2.5,16.08,.58,5.44,6.41,7,2.65,6.17,35.239,4.22,.26,19.78,2.53,5.76,7.46,4.78,126.859,"00.02:20:43",140.7166666666667,"2023-07-15","09:08:16"
"08-76-57-31",3.09,18.18393939393939,.66,5.39,4.434168126094571,6.63,4.36,6.91,23.83916221033868,5.61,.8519434628975265,17.17390374331551,2.964999999999999,5.958,3.526886120996441,4.81,114.3930030575821,"00.03:21:02",201.0333333333333,"2023-07-15","05:46:50"
"02-57-88-54",3.41,12.6,.93,4.8,7.54,12.168,3.69,6.44,23.83916221033868,6.75,.96,17.17390374331551,1.39,4.71,1.85,3.532326820603908,111.7833927742581,"00.02:45:31",165.5166666666667,"2023-07-14","10:32:18"
"36-87-83-91",2.38,13.59,1.08,3.16,8.5,10.22,5.030604982206405,7.68,26.98,4.14,.63,14.84,1.73,2.74,3.25,3.25,109.2006049822064,"00.01:48:50",108.8333333333333,"2023-07-15","10:01:06"
"99-46-97-26",2.95,19.78,2.86,6.29,11.856,11.79,5.030604982206405,5.061836007130124,35.239,6.207379679144385,.67,17.2,2.67,2.29,1.93,6.089,137.9138206684809,"00.03:38:00",218,"2023-07-15","06:21:30"
"76-21-46-00",3.91,13.05,1.36,3.918877005347594,.51,6.248379790940766,5.030604982206405,5.061836007130124,31.81,8.948999999999998,1.01,18.03,2.964999999999999,3.247140319715808,7.628,5,117.7288381053407,"00.04:00:17",240.2833333333333,"2023-07-14","07:02:42"
"63-02-11-31",2.65,27.27,1.466543209876543,4.02,.3,.23,8.539999999999999,5.061836007130124,23.83916221033868,6.207379679144385,1.04,17.17390374331551,1.568812056737589,3.247140319715808,3.526886120996441,5.47,111.6116633472551,"00.03:55:07",235.1166666666667,"2023-07-14","10:18:41"
"45-95-07-81",3.12,18.02,1.24,5.7,9.59,10.59,4.01,8.857999999999999,23.83916221033868,4.4,.47,22.58,2.55,1.81,6.15,3.59,126.5171622103387,"00.02:38:14",158.2333333333333,"2023-07-14","07:59:45"
"15-84-79-29",4.37,14.15,.98,3.55,.48,4.58,2.71,7.19,16.96,6.207379679144385,1.25,17.17390374331551,1.568812056737589,1.58,1.24,2.89,86.88009547919748,"00.01:21:11",81.18333333333334,"2023-07-15","07:12:39"
"52-10-39-37",3.610871886120997,27.71,3.37,3.918877005347594,.4,6.248379790940766,4.55,5.061836007130124,23.83916221033868,6.207379679144385,.8519434628975265,17.17390374331551,1.6,2.56,3.526886120996441,2.91,113.539239906232,"00.03:27:52",207.8666666666667,"2023-07-14","07:25:42"
"57-47-06-86",3.610871886120997,23.59,1.466543209876543,3.918877005347594,.21,.64,2.55,8.699999999999999,23.83916221033868,8.948999999999998,.64,25.09,1.11,4.47,7.37,2.13,118.2844543116838,"00.02:19:11",139.1833333333333,"2023-07-14","11:12:33"
"70-03-65-67",5.77,19.96,1.47,5.22,4.434168126094571,12.168,6.9,5.061836007130124,18.93,6.207379679144385,1,17.17390374331551,1.568812056737589,3.247140319715808,3.526886120996441,4.13,116.7681260531344,"00.04:05:18",245.3,"2023-07-15","07:04:56"
"48-58-26-00",5.99,21.61,2.24,2.98,11.01,7.97,4.07,5.061836007130124,23.83916221033868,7.43,.55,24.52,2.964999999999999,3.247140319715808,7.628,5.34,136.4511385371846,"00.02:45:02",165.0333333333333,"2023-07-14","11:11:25"
"48-53-15-07",3.92,24.63,2.1,5.4,11.856,6.248379790940766,4.21,5.061836007130124,32.98,8.48,.51,25.09,2.26,2.96,7.628,3.532326820603908,146.8665426186748,"00.02:51:02",171.0333333333333,"2023-07-15","08:04:55"
"44-97-24-07",3.610871886120997,18.18393939393939,3.502999999999998,3.918877005347594,11.856,12.168,5.030604982206405,5.061836007130124,23.83916221033868,6.207379679144385,.67,17.17390374331551,2.964999999999999,3.247140319715808,3.526886120996441,3.532326820603908,124.4949281688592,"00.04:49:56",289.9333333333333,"2023-07-15","06:42:00"
