interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"06-48-61-69","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"12-93-60-92","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-11-55-95","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"82-15-11-19","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"95-73-95-89","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-47-29-85","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"91-34-05-43","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-34-28-44","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"54-07-56-18","Yes","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-67-98-73","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"89-44-00-22","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-47-42-18","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"92-95-45-69","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"25-17-75-96","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"08-10-28-09","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
