interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"74-92-93-10",1.94,19.38002865329513,1.119318181818182,8.99,17.62,4.337118644067797,8.212,4.67,24.26126074498567,8.542,1.05,17.45193732193732,2.242,3.77,5.59,129.1756635461041,"00.04:35:55",275.9166666666667,"2023-06-07","09:23:39"
"62-57-54-10",3.27,19.38002865329513,2.34,7.625558739255014,10.25063037249284,10.11,5.024928366762178,3.720458452722063,24.26126074498567,7.03,1.000571428571429,32.556,1.68,2.59,5.6,136.4394367580843,"00.03:54:51",234.85,"2023-06-05","06:55:41"
"81-64-58-33",3.51,23.07,1.119318181818182,7.1,11.82,10.184,6.33,3.720458452722063,37.694,7.4,1.62,26.48,.95,3.99,2.57,147.5577766345403,"00.02:39:52",159.8666666666667,"2023-06-07","07:25:18"
"51-16-15-92",4.89,24.39,2.38,4.582,11.8,.44,6.54,4.49,34.16,5.904485714285714,1.000571428571429,17.91,1.84,3.06,4.4,127.7870571428571,"00.02:23:51",143.85,"2023-06-07","11:17:21"
"63-16-06-54",2.2,27.11,1.119318181818182,7.625558739255014,13.94,9.550000000000001,5.024928366762178,6.267999999999999,24.26126074498567,5.904485714285714,1.000571428571429,25.22,1.33,5.778,4.2,140.5321231756782,"00.03:35:55",215.9166666666667,"2023-06-06","06:48:03"
"32-07-75-14",2.95,14.56,.49,8.82,11.93,9.619999999999999,5.96,3.5,18.38,4.54,.95,15.91,.9399999999999999,2.31,3.18,104.04,"00.01:47:01",107.0166666666667,"2023-06-07","13:05:39"
"23-46-49-04",3.062378223495702,10.19,.86,9.16,13.19,4.26,3.49,1.73,19.73,4.43,1.81,17.45193732193732,1.17,2.19,4.37,97.09431554543302,"00.02:12:07",132.1166666666667,"2023-06-07","13:14:39"
"81-47-15-41",3.36,9.968,.4,8.27,10.25063037249284,.41,5.7,3.55,20.67,4.88,1.000571428571429,10.89,1.371647727272727,2.64,3.42,86.780849528337,"00.01:33:49",93.81666666666666,"2023-06-07","08:09:24"
"74-82-45-40",5.149999999999999,14.82,1.48,7.625558739255014,7.95,2.42,5.024928366762178,2.25,24.73,3.876,1.000571428571429,9.35,.9399999999999999,4.83,2.03,93.47705853458862,"00.01:37:35",97.58333333333333,"2023-06-08","13:33:05"
"71-03-17-29",3.062378223495702,19,1.12,4.582,18.618,.1,6.76,3.3,24.26126074498567,3.92,.38,17.45193732193732,1.26,3.344212034383954,4.359570200573066,111.5193585253757,"00.03:15:01",195.0166666666667,"2023-06-07","11:05:17"
"22-02-08-34",3.75,16.48,.61,11.36,8.279999999999999,2.04,3.66,3.720458452722063,27.57,7.4,1.76,10.27,1.371647727272727,2.09,7.33,107.6921061799948,"00.02:00:30",120.5,"2023-06-08","12:11:26"
"35-24-65-37",3.062378223495702,32.31,1.32,9.449999999999999,10.25063037249284,4.337118644067797,6.66,5.55,32,6.62,.33,13.01,1.371647727272727,3.84,4.93,135.0417749673291,"00.03:07:41",187.6833333333333,"2023-06-07","09:45:37"
"94-94-59-77",3.41,19.38002865329513,2.404,4.582,11.76,6.67,8.212,6.12,36.81,5.904485714285714,.59,17.45193732193732,1.98,3.38,4.359570200573066,133.0140218900912,"00.03:19:17",199.2833333333333,"2023-06-08","09:57:38"
"62-18-60-04",1.99,19.64,1.02,6.11,10.83,4.337118644067797,5.024928366762178,3.720458452722063,24.26126074498567,4.78,1.18,9.08,1.11,1.82,4.359570200573066,99.26333640911078,"00.02:00:52",120.8666666666667,"2023-06-08","13:14:50"
"13-57-44-05",3.062378223495702,21.61,.8,5.08,7.31,.13,7.88,3.720458452722063,23.02,4.76,.33,32.556,1.371647727272727,3.344212034383954,4.359570200573066,119.3342666384475,"00.02:28:04",148.0666666666667,"2023-06-08","12:57:09"
"53-63-07-20",3.74,21.08,.4,8.279999999999999,9.869999999999999,4.337118644067797,6.5,4.8,19.38,8.542,.6899999999999999,17.45193732193732,1.92,3.344212034383954,3.38,113.7152680003891,"00.02:30:21",150.35,"2023-06-08","09:55:07"
