interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"23-88-68-38",3,3,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"24-58-49-24",2,2,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"27-73-91-69",50,50,"Market in this village","","No","","No",,,,,,,,,,,
"88-41-94-49",1,1,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","No","No","Yes","No","No",
"83-47-45-70",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"06-72-44-70",20,2,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"85-25-38-04",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"99-72-02-18",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"76-93-76-77",9,9,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"25-81-57-24",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"18-66-56-26",,,,"",,"",,,,,,,,,,,,
"38-35-03-16",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"87-43-13-02",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"06-72-27-90",1,1,"Direct individuals not in a market","","No","","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"10-09-48-91",15,15,"Market in this village","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"89-20-17-64",8,8,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"61-30-29-22",20,4,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"32-64-82-60",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"05-69-71-03",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"62-54-48-69",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"40-71-41-17",30,30,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"59-04-18-69",7,7,"Direct individuals not in a market","","No","","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"99-19-59-36",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"66-80-07-88",20,2,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"33-91-72-59",12,12,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"79-95-75-64",50,50,"Rural market in the neighbouring village","","No","","Yes","No","No","Yes","No","Yes","No","No","No","No","No",
"36-27-38-94",9,9,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"20-85-41-55",12,12,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"99-41-30-80",7,7,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"71-06-23-24",,,,"",,"",,,,,,,,,,,,
"89-01-00-04",45,45,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"00-37-37-14",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"74-41-47-70",0,0,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"52-43-66-41",50,50,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"83-13-77-99",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"61-91-44-04",50,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"61-31-17-62",28,28,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"01-73-77-56",28,28,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"47-87-04-23",57,57,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"46-77-22-22",40,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-46-59-23",9,9,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"47-72-11-03",23,23,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"75-19-56-83",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"17-63-18-37",40,1,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"36-67-78-55",20,20,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"57-94-56-04",1,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"50-78-72-42",1,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"39-32-15-43",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"83-43-24-20",1,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"86-15-33-66",30,30,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"44-68-45-91",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"92-79-83-19",30,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"84-11-52-01",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"04-80-79-59",25,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"86-90-94-39",5,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"60-18-28-01",45,45,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"95-75-71-60",3,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"92-06-91-29",5,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-44-90-07",1,1,"Market in this village","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"03-23-51-60",40,40,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"00-90-52-98",10,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"94-81-42-69",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"93-63-81-71",8,9,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"98-80-95-52",5,5,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"43-02-26-99",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"53-75-34-84",18,18,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"27-49-80-27",55,2,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"33-72-39-68",14,14,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"17-79-25-12",65,65,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"74-51-58-80",5,5,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"22-03-45-06",65,65,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"29-14-83-70",8,8,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"54-67-39-05",1,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"72-58-55-05",5,45,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"04-15-15-88",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"27-95-56-36",60,2,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"53-49-41-59",1,1,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"39-17-22-92",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"74-39-55-58",40,40,"Direct individuals not in a market","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"26-22-03-23",13,13,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"09-03-01-05",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"15-07-16-66",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"06-67-11-07",40,3,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"66-85-51-19",15,15,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
