interview__key,r_food_ind__id,numdays_7d,food_source_7d__1,food_source_7d__2,food_source_7d__3,food_source_7d__4,food_source_7d__5,food_source_7d__6,food_source_7d__7,food_source_7d__8,food_source_7d__9,food_source_7d__96,foos_source_oth
"96-79-76-17","Pulses, legumes, nuts, seeds",7,"Yes","No","No","No","No","No","No","No","No","No",""
"96-79-76-17","Milk and milk products- fresh, powdered, yogurt, cheese, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"96-79-76-17","Oil/fats- oil, fat, butter, ghee, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"96-79-76-17","Sugar and sweets- sugar, honey, sweets, desserts",4,"No","No","No","No","Yes","No","No","No","No","No",""
"23-90-90-29","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"23-90-90-29","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"99-47-47-96","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"99-47-47-96","Vegetables- spinach, pumpkin, cabbage, tomato, onion",3,"No","No","No","No","Yes","No","No","No","No","No",""
"99-47-47-96","Eggs",1,"Yes","No","No","No","No","No","No","No","No","No",""
"99-47-47-96","Fish and seafood (dried or fresh)- sardines, dagaa/omena",4,"Yes","No","No","No","Yes","No","No","No","No","No",""
"99-47-47-96","Milk and milk products- fresh, powdered, yogurt, cheese, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"99-47-47-96","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"48-69-67-88","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"93-76-93-98","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
