interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"27-41-68-88","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,65,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-57-67-99","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"14-01-18-55","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,120,"Yes","No",,"No",,"No","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"25-45-40-50","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,540,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"28-45-95-92","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"52-38-49-21","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"59-05-06-39","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,180,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"07-23-34-26","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"74-55-33-17","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"63-06-38-69","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
