interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"96-79-76-17",5,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"23-90-90-29",3,"Iron sheets","","Concrete","","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"99-47-47-96",2,"Iron sheets","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"48-69-67-88",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"93-76-93-98",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"02-49-04-36",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"97-96-55-67",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"55-00-90-34",3,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"74-92-93-10",8,"Iron sheets","","Other➡️ Please specify","stones and cement","Cement screed","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"62-57-54-10",8,"Iron sheets","","Other➡️ Please specify","Stones and cement","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"81-64-58-33",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"51-16-15-92",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"63-16-06-54",4,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"32-07-75-14",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"23-46-49-04",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"81-47-15-41",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"74-82-45-40",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"71-03-17-29",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"22-02-08-34",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"35-24-65-37",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"94-94-59-77",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"62-18-60-04",1,"Thatched grass","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"13-57-44-05",5,"Iron sheets","","Concrete","","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"53-63-07-20",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"67-75-50-83",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
