interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"92-49-74-52",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"24-72-61-31",2,"Concrete","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"04-92-41-49",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"10-43-22-87",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"32-83-01-09",1,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"79-05-50-27",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"27-16-23-86",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"12-61-67-91",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"58-55-75-07",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"00-06-72-58",3,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","THE TAP HAS BEEN CLOSED DUE TO WATER DEBT.","Other➡️ Please specify","THE WATER SYSTEM TOILET AVAILABLE BUT NON FUNCTIONAL..THE CONSTRUCTION IS NOT COMPLETED,THOUGH IT WAS A GOVERNMENT PROJECT FOR THE POOR."
"45-71-57-97",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"18-81-00-96",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"09-79-14-71",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"71-80-89-34",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"05-16-40-57",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
