interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"85-30-41-56",4,"No",,"No","No intention to migrate",,"",,,,,,
"78-32-31-52",1,"Yes","No","No",,,"",2021,2022,,,,
"78-32-31-52",2,"Yes","No","No",,,"",2021,2022,,,,
"78-32-31-52",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"78-32-31-52",4,"Yes","No","No",,,"",2019,2022,,,,
"78-32-31-52",5,"Yes","No","No",,,"",2018,2022,,,,
"78-32-31-52",6,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"78-32-31-52",8,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"78-32-31-52",9,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"78-32-31-52",12,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"78-32-31-52",13,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"37-97-45-71",1,"No",,"No","No intention to migrate",,"",,,,,,
"37-97-45-71",2,"No",,"No","No intention to migrate",,"",,,,,,
"37-97-45-71",3,"No",,"No","No intention to migrate",,"",,,,,,
"07-52-39-57",1,"No",,"Yes","No intention to migrate",,"",2021,2021,,,,
"07-52-39-57",2,"No",,"No","No intention to migrate",,"",,,,,,
"07-52-39-57",3,"No",,"No","No intention to migrate",,"",,,,,,
"07-52-39-57",4,"No",,"Yes","No intention to migrate",,"",2022,2022,,,,
"07-52-39-57",5,"No",,"No","No intention to migrate",,"",,,,,,
"80-35-75-14",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"80-35-75-14",2,"No",,"No","No intention to migrate",,"",,,,,,
"80-35-75-14",3,"No",,"No","No intention to migrate",,"",,,,,,
"94-41-84-42",1,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"96-46-53-15",1,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"96-46-53-15",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-46-53-15",3,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"96-46-53-15",4,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"96-46-53-15",6,"No",,"No","No intention to migrate",,"",,,,,,
"53-23-37-57",1,"No",,"No","No intention to migrate",,"",,,,,,
"53-23-37-57",2,"No",,"No","No intention to migrate",,"",,,,,,
"53-23-37-57",3,"No",,"No","No intention to migrate",,"",,,,,,
"53-23-37-57",4,"No",,"No","No intention to migrate",,"",,,,,,
"34-02-59-21",1,"No",,"No","No intention to migrate",,"",,,,,,
"34-02-59-21",2,"No",,"No","No intention to migrate",,"",,,,,,
"34-02-59-21",3,"No",,"No","No intention to migrate",,"",,,,,,
"19-67-63-11",1,"No",,"No","No intention to migrate",,"",,,,,,
"19-67-63-11",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"19-67-63-11",3,"No",,"No","No intention to migrate",,"",,,,,,
"19-67-63-11",4,"No",,"No","No intention to migrate",,"",,,,,,
"57-12-45-97",1,"No",,"No","Don’t know",,"",,,,,,
"96-34-22-21",1,"No",,"No","No intention to migrate",,"",,,,,,
"03-38-35-14",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-06-20-19",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-06-20-19",2,"No",,"No","No intention to migrate",,"",,,,,,
"51-25-36-09",1,"No",,"No","No intention to migrate",,"",,,,,,
"51-25-36-09",2,"No",,"No","No intention to migrate",,"",,,,,,
"51-25-36-09",4,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"04-05-30-01",1,"No",,"No","No intention to migrate",,"",,,,,,
"04-05-30-01",2,"No",,"No","No intention to migrate",,"",,,,,,
"04-05-30-01",4,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",1,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",2,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",3,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",4,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",5,"No",,"No","No intention to migrate",,"",,,,,,
"50-01-20-35",6,"Yes","No","No",,,"",2019,2023,,,,
"50-01-20-35",7,"No",,"No","No intention to migrate",,"",,,,,,
"67-87-75-21",1,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"67-87-75-21",2,"No",,"No","No intention to migrate",,"",,,,,,
"67-87-75-21",3,"No",,"No","No intention to migrate",,"",,,,,,
"67-87-75-21",4,"No",,"No","No intention to migrate",,"",,,,,,
"67-87-75-21",5,"No",,"Yes","No intention to migrate",,"",2018,2018,,,,
"67-87-75-21",6,"No",,"No","Yes temporarily migrate","village outside region","",,,,,,
"67-87-75-21",8,"Yes","Yes","No",,,"",2015,2023,1,5,0,
"67-87-75-21",9,"Yes","Yes","No",,,"",2019,2022,4,2,0,
"67-87-75-21",10,"No",,"No","No intention to migrate",,"",,,,,,
"53-81-28-44",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"53-81-28-44",2,"No",,"No","No intention to migrate",,"",,,,,,
"69-29-47-18",1,"No",,"No","No intention to migrate",,"",,,,,,
"69-29-47-18",2,"No",,"No","No intention to migrate",,"",,,,,,
"69-29-47-18",3,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"69-29-47-18",4,"No",,"No","No intention to migrate",,"",,,,,,
"69-29-47-18",7,"No",,"No","No intention to migrate",,"",,,,,,
"69-29-47-18",8,"No",,"No","Yes temporarily migrate","Don’t know","",,,,,,
"22-59-76-95",1,"No",,"No","Yes permanently migrate","village outside region","",,,,,,
"22-59-76-95",2,"No",,"No","Yes permanently migrate","village outside region","",,,,,,
"22-59-76-95",3,"Yes","No","No",,,"",2021,2022,,,,
"87-80-21-51",1,"No",,"No","No intention to migrate",,"",,,,,,
"87-80-21-51",3,"No",,"No","No intention to migrate",,"",,,,,,
"87-80-21-51",4,"No",,"No","No intention to migrate",,"",,,,,,
"87-80-21-51",5,"No",,"No","No intention to migrate",,"",,,,,,
"21-25-86-78",1,"No",,"No","No intention to migrate",,"",,,,,,
"21-25-86-78",2,"No",,"No","No intention to migrate",,"",,,,,,
"21-25-86-78",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"21-25-86-78",4,"No",,"No","No intention to migrate",,"",,,,,,
"28-99-62-67",1,"No",,"No","No intention to migrate",,"",,,,,,
"28-99-62-67",2,"No",,"No","No intention to migrate",,"",,,,,,
"28-99-62-67",3,"No",,"No","No intention to migrate",,"",,,,,,
"28-99-62-67",4,"Yes","No","No",,,"",2022,2023,,,,
"14-08-31-40",1,"No",,"No","No intention to migrate",,"",,,,,,
