interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"86-16-04-54",1,12,,"","Female","Self/Head","74","Never Married","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Too far away","",,"","","","Yes","Yes","No"
"86-16-04-54",2,12,,"","Female","Grandchild","20",,"Subiya",,"","Other educational training","No","Poor academic progress","",,"","","","No",,
"86-16-04-54",3,3,"New arrivals - Returned home from abduction/displacement","","Male","Grandchild","19",,"Subiya",,"","Form 3","No","Sickness or calamity in family","",,"","","","No",,
"42-95-35-09",1,12,,"","Female","Self/Head","67","Widow/ Widower","HAMBUKUSHU","Protestant demoninantions (incl all non-catholic denominations)","","Standard 6","Yes",,"",,"","","","Yes","Yes","No"
"42-95-35-09",2,12,,"","Male","Child/Adopted Child","39",,"SUBIYA",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"42-95-35-09",3,12,,"","Male","Child/Adopted Child","41",,"SUBIYA",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"54-69-26-46",1,12,,"","Female","Self/Head","63","Widow/ Widower","Ngwato","Protestant demoninantions (incl all non-catholic denominations)","","Standard 6","No","Too far away","",,"","","","No",,
"54-69-26-46",2,12,,"","Female","Grandchild","30",,"Kalanga",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"92-23-96-13",1,12,,"","Female","Self/Head","46","Never Married","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"92-23-96-13",2,12,,"","Female","Child/Adopted Child","13",,"subiya",,"","Form 2","Yes",,"",,"","","","No",,
"92-23-96-13",3,12,,"","Female","Niece/Nephew","13",,"subiya",,"","Form 1","Yes",,"",,"","","","No",,
"22-90-51-93",1,12,,"","Male","Self/Head","36","Never Married","kalanga","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Completed desired schooling","",,"","","","No",,
"22-90-51-93",2,12,,"","Male","Niece/Nephew","37",,"kalanga",,"","Form 5","No","Too expensive","",,"","","","Yes","Yes","No"
"15-81-26-28",1,12,,"","Female","Wife/Husband","33",,"hambukushu",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"15-81-26-28",2,12,,"","Male","Self/Head","43","Never Married","Nambya","African Traditional religion","","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"15-81-26-28",3,12,,"","Male","Child/Adopted Child","4",,"Hambukushu",,"",,"No","Other","awaiting to start next year",,"","","",,,
"15-81-26-28",4,10,"New arrivals - New born","","Male","Child/Adopted Child","Less than 1 year",,"Hambukushu",,"",,"No","Other","Still a baby",,"","","",,,
"20-52-90-88",1,12,,"","Female","Self/Head","71","Never Married","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Completed desired schooling","",,"","","","No",,
"20-52-90-88",2,12,,"","Female","Child/Adopted Child","40",,"Subiya",,"","Form 5","No","Had to help at home","",,"","","","Yes","Yes","No"
"20-52-90-88",3,12,,"","Female","Child/Adopted Child","38",,"Subiya",,"","Form 5","No","I don't Know","",,"","","","No",,
"20-52-90-88",4,12,,"","Male","Grandchild","7",,"Subiya",,"","Standard 1","Yes",,"",,"","","",,,
"35-31-07-84",1,12,,"","Female","Child/Adopted Child","52",,"Subiya",,"","Other educational training","No","Poor academic progress","",,"","","","No",,
"35-31-07-84",2,12,,"","Female","Self/Head","70","Widow/ Widower","Subiya","African Traditional religion","","Standard 7","No","Further schooling not available","",,"","","","No",,
"35-31-07-84",3,12,,"","Male","Grandchild","23",,"Subiya",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"35-31-07-84",4,12,,"","Male","Grandchild","8",,"Subiya",,"","Standard 3","Yes",,"",,"","","",,,
"35-31-07-84",5,9,"New arrivals - Other economic reasons","","Female","Grandchild","33",,"Subiya",,"","Form 5","Yes",,"",,"","","","Yes","Yes","No"
"09-47-23-08",1,12,,"","Female","Self/Head","47","Never Married","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Had to help at home","",,"","","","Yes","Yes","No"
"09-47-23-08",2,12,,"","Male","Wife/Husband","60",,"San",,"","Standard 4","No","Completed desired schooling","",,"","","","No",,
