interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"96-46-53-15",1.71,16.64,1.62,3.1,1.267822580645161,5.9,5.13,1.77,17.44,5,.44,15.22,1.819612188365651,2.739168975069252,2.3,82.09660374408007,"00.01:39:33",99.55,"2023-05-22","06:34:09"
"53-23-37-57",1.71,15.51,2.51,4.52,1,.2,6.77,1.76,17.14,4.99,1,9.32,1.43,2.739168975069252,9.289999999999999,79.88916897506925,"00.01:20:15",80.25,"2023-05-22","12:26:13"
"34-02-59-21",3.03,27.65,2.44,5.46,.24,.22,13.2,3.212314049586777,37.748,5.31,.44,12.34,2.75,.982,3.8,118.8223140495868,"00.02:03:46",123.7666666666667,"2023-05-22","12:22:58"
"19-67-63-11",3.46,19.04,2.955999999999999,7.04,.28,.07,10.71,2.21,32.99,6.5,1.348925619834711,14.83066666666667,1.48,1.71,4.24,108.8655922865014,"00.02:25:14",145.2333333333333,"2023-05-20","12:11:50"
"57-12-45-97",1.87,18.27792817679558,1.479889502762431,4.62,.18,.08,7.85,2.56,25.04304709141274,5.971184573002755,1.63,7.757999999999999,2.52,3.23,2.49,85.5600493439735,"00.01:33:11",93.18333333333334,"2023-05-25","11:43:43"
"96-34-22-21",1.69,7.416,.78,6.06,.13,.09,10.22,5.98,22.84,5.18,1.61,14.83066666666667,2.17,1.06,2.208,82.26466666666667,"00.01:45:54",105.9,"2023-05-22","12:49:37"
"03-38-35-14",2.78,18.27792817679558,.74,5.32,.12,7.5,5.69,5.51,25.04304709141274,5.95,1.09,11.64,1.71,2.14,17.36199999999999,110.8729752682083,"00.01:44:51",104.85,"2023-05-19","10:22:17"
"09-06-20-19",2.89,28.27,.51,6.56,.1,.07,5.23,5.81,25.04304709141274,5.971184573002755,.58,23.8,1.819612188365651,2.739168975069252,5.980828729281768,115.3738415571322,"00.01:25:11",85.18333333333334,"2023-05-30","12:36:59"
"51-25-36-09",2.519335180055402,25.39,2.955999999999999,4.948055555555555,8.519999999999989,2.039313186813187,11.75,3.212314049586777,25.04304709141274,9.029999999999999,2.25,14.83066666666667,1.819612188365651,1.22,2.33,117.858343918456,"00.03:54:53",234.8833333333333,"2023-05-19","11:11:23"
"04-05-30-01",2.74,8.039999999999999,1.25,3.22,.12,.3,5.66,1.76,25.04304709141274,4.09,1.348925619834711,9.369999999999999,1.819612188365651,2.739168975069252,5.980828729281768,73.48158260396413,"00.01:16:47",76.78333333333333,"2023-05-27","09:26:12"
"50-01-20-35",4.531999999999998,18.27792817679558,2.955999999999999,4.948055555555555,.12,1.01,12.64,3.212314049586777,25.04304709141274,5.35,1.37,14.83066666666667,1.31,2.739168975069252,5.980828729281768,104.3200092443683,"00.02:39:36",159.6,"2023-05-25","07:27:36"
"67-87-75-21",2.519335180055402,18.27792817679558,1.479889502762431,4.948055555555555,2.14,.63,9.141722222222223,3.212314049586777,27.2,5.971184573002755,1.08,15.6,1.819612188365651,2.739168975069252,6.64,103.3992104234156,"00.05:35:39",335.65,"2023-05-19","07:54:33"
"53-81-28-44",2.519335180055402,18.27792817679558,1.97,4.17,.14,.07,9.141722222222223,4.24,21.67,6.44,1.89,18.2,1.26,5.33,7.55,102.8689855790732,"00.01:58:27",118.45,"2023-05-22","07:30:06"
"69-29-47-18",3.26,18.27792817679558,1.479889502762431,4.948055555555555,.18,.07,13.02,1.25,35.45,5.67,2.19,15.02,2.62,2.46,2.92,108.8158732351136,"00.02:23:28",143.4666666666667,"2023-05-22","07:32:29"
"22-59-76-95",4.52,18.27792817679558,1.479889502762431,6.37,.26,2.039313186813187,9.73,3.212314049586777,25.04304709141274,9.029999999999999,1.348925619834711,22.18,3.044,2.739168975069252,5.980828729281768,115.2554153315564,"00.03:23:31",203.5166666666667,"2023-05-18","06:55:26"
"87-80-21-51",2.519335180055402,18.27792817679558,1.05,4.948055555555555,1.267822580645161,6.52,9.141722222222223,6.17,26.45,6,.8,10.11,3.044,2.739168975069252,4.14,103.1780326903432,"00.02:14:45",134.75,"2023-05-25","12:57:51"
