interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"25-98-38-14",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","&gt;70",0,6
"50-33-61-65",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",0,6
"50-33-61-65",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",0,30
"50-33-61-65",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Mafwe","","&gt;70",7,30
"88-90-25-85",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","&gt;70",5,4
"88-90-25-85",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","&gt;70",3,4
"88-90-25-85",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 60s",5,4
"04-83-20-68",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Subia","","In their 50s",10,2
"04-83-20-68",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 50s",5,2
"04-83-20-68",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",6,2
"09-59-67-21",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 40s",10,10
"35-03-03-59",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 30s",10,10
"35-03-03-59",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",15,10
"35-03-03-59",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",10,10
"10-50-64-24",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",20,0
"10-50-64-24",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",0,0
"10-50-64-24",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 40s",0,0
"13-56-95-25",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 40s",25,25
"13-56-95-25",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",20,20
"36-88-00-01",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 50s",5,1
"36-88-00-01",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 60s",4,1
"36-88-00-01",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 50s",5,1
"63-25-21-02",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 60s",6,2
"63-25-21-02",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 60s",5,1
"08-07-30-74",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Other","Totela","In their 40s",0,6
"08-07-30-74",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other","Totela","&gt;70",0,6
"18-39-69-08",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 40s",28,5
"18-39-69-08",2,"No","No","No","No","Yes","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",16,0
"18-39-69-08",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",6,0
"97-46-11-48",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",20,10
"97-46-11-48",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 40s",8,4
"97-46-11-48",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",6,3
"12-85-99-43",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",10,0
"12-85-99-43",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Mafwe","","In their 30s",3,0
"12-85-99-43",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",2,0
"55-14-49-61",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Subia","","In their 40s",1,1
"94-26-98-86",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 40s",20,12
"94-26-98-86",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 40s",3,3
"94-26-98-86",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",4,4
"32-96-01-37",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 50s",5,3
"32-96-01-37",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 50s",8,5
"32-96-01-37",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",2,2
"41-92-38-71",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",20,5
"41-92-38-71",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","&gt;70",28,2
"41-92-38-71",3,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Mafwe","","In their 60s",2,0
"43-40-50-14",1,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Mafwe","","&gt;70",29,20
"43-40-50-14",2,"No","No","No","No","Yes","Yes","Yes","No","No","No","No","No",,"Women","Mafwe","","In their 60s",29,20
"43-40-50-14",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",1,0
"33-52-73-44",1,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Women","Mafwe","","In their 30s",28,5
"33-52-73-44",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Mafwe","","In their 40s",5,2
"33-52-73-44",3,"No","No","No","No","Yes","No","No","No","Yes","No","No","No",,"Women","Mafwe","","In their 40s",5,5
"17-65-44-15",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",6,4
"17-65-44-15",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",6,3
"17-65-44-15",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 30s",1,0
"77-00-14-73",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",4,6
"77-00-14-73",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",3,1
"77-00-14-73",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Mafwe","","In their 30s",29,29
"78-98-94-60",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 50s",1,1
"78-98-94-60",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",1,2
"50-51-12-24",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other","totela","In their 40s",1,30
"45-72-98-81",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Subia","","&gt;70",2,0
"45-72-98-81",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",8,1
"45-72-98-81",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 50s",0,0
"98-20-22-18",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 40s",0,5
"98-20-22-18",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",7,4
