interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"45-72-98-81","No","Yes","No","No","No","No",,20,480,8,"Communally owned",5,"No",,46,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","crocodiles"
"98-20-22-18","No","Yes","No","No","No","No",,10,600,10,"Communally owned",1,"No",,-88,"No","Yes","No","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"12-87-62-64","No","No","Yes","No","No","No",,120,600,6,"Communally owned",4,"No",,1998,,,,,,,,,,,,,,,,,,,,"",,"No","No","No","No","No","No",,"Yes","No","No","No",""
"02-24-60-64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"35-93-85-84","No","No","Yes","No","No","No",,120,600,10,"Communally owned",-88,"No",,-88,"No","No","Yes","No","No","No",600,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No",,"No","No","No",""
"25-08-98-52","Yes","Yes","No","No","No","No",,,,13,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"46-54-30-66","No","Yes","No","No","No","No",,120,480,10,"Communally owned",21,"No",,20,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,,"No","No","No",""
"19-66-62-79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"38-52-59-99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"18-01-52-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"52-91-87-71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-58-98-12","No","Yes","No","No","No","No",,10,540,9,"Communally owned",3,"No",,1962,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"18-53-78-30","No","Yes","No","No","No","No",,120,600,6,"Communally owned",4,"No",,2006,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No",,"Yes","No","No","No",""
"21-70-10-93","No","No","Yes","No","No","No",,120,960,6,"Communally owned",10,"No",,13,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","crocodiles"
"51-51-64-02","No","No","Yes","No","No","No",,120,600,6,"Communally owned",5,"No",,2006,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No",,"Yes","No","No",,"Wildlife conflicts"
"65-04-27-87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"26-67-17-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"12-55-61-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-21-00-12","No","No","Yes","No","No","No",,40,660,11,"Communally owned",11,"No",,29,,,,,,,,,,,,,,,,,,,,"",,"No","Yes","No","No","No","No","No","No","No","No",,"crocodiles"
"09-96-00-56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"93-46-32-90","No","Yes","No","No","No","No",,60,600,10,"Communally owned",4,"No",,24,,,,,,,,,,,,,,,,,,,,"",,"No","No","No","No","Yes","No",,"No","No","No","No",""
"39-76-52-63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"44-39-76-83","No","Yes","No","No","No","No",,40,600,10,"Communally owned",15,"No",,20,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No",,"No","No","No",""
"57-92-68-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-75-80-97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-91-43-52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"93-94-95-33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"50-37-72-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"29-63-76-51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"71-36-35-44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"20-65-14-78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"60-95-57-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"17-61-49-75","No","No","Yes","No","No","No",,150,660,6,"Communally owned",0,"No",,2004,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No",""
"02-95-98-52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"77-54-37-57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"49-81-42-49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"07-97-99-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"61-38-38-57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"80-45-81-35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"47-70-03-35","No","Yes","No","No","No","No",,30,600,10,"Communally owned",-88,"No",,10,,,,,,,,,,,,,,,,,,,,"","No","No",,"No","No","Yes","No","No","No","No","No","No",""
