interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"31-89-28-30",1,12,,"","Female","Self/Head",45,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Other","There was no one to pay for her school fees when her parents passed away.",,"","","","Yes","Yes","No"
"31-89-28-30",2,12,,"","Male","Child/Adopted Child",25,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Sickness or calamity in family","",,"","","","No",,
"31-89-28-30",3,12,,"","Female","Child/Adopted Child",23,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"31-89-28-30",4,12,,"","Female","Child/Adopted Child",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"31-89-28-30",5,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"31-89-28-30",6,12,,"","Female","Child/Adopted Child",20,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Pregnancy","",,"","","","No",,
"61-82-08-02",1,12,,"","Male","Self/Head",40,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Further schooling not available","",,"","","","Yes","Yes","No"
"61-82-08-02",2,12,,"","Female","Wife/Husband",30,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Had to help at home","",,"","","","No",,
"67-96-75-77",1,12,,"","Male","Self/Head",58,"Married monogamously","Subia","","Catholic","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"67-96-75-77",2,12,,"","Female","Wife/Husband",50,"Married monogamously","Subia","","Catholic","","Primary 7","No","Too expensive","",,"","","","No",,
"67-96-75-77",3,12,,"","Female","Child/Adopted Child",27,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"67-96-75-77",4,12,,"","Female","Child/Adopted Child",25,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"67-96-75-77",5,12,,"","Female","Child/Adopted Child",21,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"67-96-75-77",6,12,,"","Female","Child/Adopted Child",21,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"67-96-75-77",7,12,,"","Male","Child/Adopted Child",17,"Never Married","Subia","","Catholic","","Secondary school Year 2","Yes",,"",,"","","","No",,
"67-96-75-77",8,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"67-96-75-77",9,12,,"","Male","Child/Adopted Child",9,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"67-96-75-77",10,12,,"","Female","Child/Adopted Child",12,"Never Married","Subia","","Catholic","","Primary 4","Yes",,"",,"","","","No",,
"67-96-75-77",11,12,,"","Female","Grandchild",5,,,"",,"","Primary 1","No","Too far away","",,"","","",,,
"67-96-75-77",12,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Too far away","",,"","","",,,
"67-96-75-77",13,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","No","Too far away","",,"","","",,,
"67-96-75-77",14,12,,"","Male","Grandchild",1,,,"",,"",,"No","Too far away","",,"","","",,,
"67-96-75-77",15,12,,"","Female","Grandchild",1,,,"",,"",,"No","Too far away","",,"","","",,,
"19-03-14-53",1,12,,"","Male","Self/Head",36,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Had to help at home","",,"","","","No",,
"19-03-14-53",2,12,,"","Female","Wife/Husband",29,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Not willing to attend further","",,"","","","No",,
"19-03-14-53",3,12,,"","Female","Niece/Nephew",10,,,"",,"","Primary 5","Yes",,"",,"","","",,,
"19-03-14-53",4,12,,"","Female","Niece/Nephew",10,,,"",,"","Primary 5","Yes",,"",,"","","",,,
"19-03-14-53",5,12,,"","Male","Child/Adopted Child",6,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"12-01-31-29",1,12,,"","Male","Self/Head",57,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"12-01-31-29",2,12,,"","Female","Wife/Husband",49,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"12-01-31-29",3,12,,"","Female","Child/Adopted Child",20,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"12-01-31-29",4,12,,"","Male","Child/Adopted Child",19,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"12-01-31-29",5,12,,"","Female","Child/Adopted Child",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"12-01-31-29",6,12,,"","Male","Grandchild",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",0,"","","",,,
"16-72-17-16",1,12,,"","Male","Self/Head",43,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Sickness or calamity in family","",,"","","","No",,
"16-72-17-16",2,12,,"","Female","Wife/Husband",39,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Not willing to attend further","",,"","","","No",,
"16-72-17-16",3,12,,"","Female","Child/Adopted Child",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 3","Yes",,"",,"","","","No",,
"16-72-17-16",4,12,,"","Male","Child/Adopted Child",18,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"38-21-18-12",1,12,,"","Male","Self/Head",35,"Married monogamously","Lozi","","Other➡️ Please specify","Seventh Adventist Church","Secondary school Year 3","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"38-21-18-12",2,12,,"","Female","Wife/Husband",33,"Married polygamous","Subia","","Other➡️ Please specify","Faith Apostolic Church","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"38-21-18-12",3,12,,"","Female","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",1500,"","","",,,
"38-21-18-12",4,12,,"","Female","Child/Adopted Child",3,,,"",,"",,"No","Other","Too young",,"","","",,,
"75-80-02-90",1,12,,"","Female","Self/Head",75,"Divorced /Separated","Subia","","Other➡️ Please specify","new Apostolic church","No formal education","No","Had to help with farm work","",,"","","","No",,
"75-80-02-90",2,12,,"","Female","Child/Adopted Child",41,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","No","Too expensive","",,"","","","No",,
"75-80-02-90",3,12,,"","Male","Son/Daughter-In-Law",47,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","Yes","Yes","No"
"75-80-02-90",4,12,,"","Female","Grandchild",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"75-80-02-90",5,12,,"","Male","Grandchild",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"75-80-02-90",6,12,,"","Female","Grandchild",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"75-80-02-90",7,12,,"","Male","Grandchild",23,"Never Married","Other, Specify","mbalangwe","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"75-80-02-90",8,12,,"","Male","Grandchild",25,"Never Married","Other, Specify","mbalangwe","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Other","failed grade 11",,"","","","No",,
"75-80-02-90",9,12,,"","Female","Grandchild",4,,,"",,"",,"Yes",,"",200,"","","",,,
"75-80-02-90",10,12,,"","Male","Grandchild",2,,,"",,"",,"No","Other","too young",,"","","",,,
"75-80-02-90",11,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","too young",,"","","",,,
"75-80-02-90",12,12,,"","Female","Child/Adopted Child",29,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 3","No","Too expensive","",,"","","","No",,
"75-80-02-90",13,12,,"","Male","Grandchild",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"43-41-21-85",1,12,,"","Female","Self/Head",35,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Not willing to attend further","",,"","","","No",,
"43-41-21-85",2,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"43-41-21-85",3,12,,"","Female","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",320,"","","",,,
"43-41-21-85",4,12,,"","Male","Child/Adopted Child",16,"Never Married","Subia","","Catholic","","Secondary school Year 3","Yes",,"",,"","","","No",,
"66-22-88-29",1,12,,"","Female","Wife/Husband",54,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","No formal education","No","Refused to answer","",,"","","","No",,
"66-22-88-29",2,12,,"","Female","Child/Adopted Child",27,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Not willing to attend further","",,"","","","No",,
"66-22-88-29",3,12,,"","Female","Child/Adopted Child",19,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 2","No","Sickness or calamity in family","",,"","","","No",,
"66-22-88-29",4,12,,"","Male","Child/Adopted Child",25,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Not willing to attend further","",,"","","","No",,
"66-22-88-29",5,12,,"","Male","Child/Adopted Child",15,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","Yes",,"",,"","","","No",,
"66-22-88-29",6,12,,"","Female","Child/Adopted Child",22,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","No formal education","No","Refused to answer","",,"","","","Yes","Yes","No"
"66-22-88-29",7,12,,"","Female","Grandchild",2,,,"",,"",,"No","Other","Not yet old to attend school",,"","","",,,
"66-22-88-29",8,12,,"","Female","Grandchild",4,,,"",,"",,"No","Other","Still under age",,"","","",,,
"66-22-88-29",9,7,"New arrivals - New born","","Male","Grandchild",0,,,"",,"",,"No","Other","Still young",,"","","",,,
"66-22-88-29",10,12,,"","Male","Self/Head",52,"Married monogamously","Subia","","Catholic","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"42-66-53-78",1,2,"Members that left - Looking for work elsewhere","","Female","Self/Head",64,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Adult Literacy","No","Poor academic progress","",,"","","","No",,
"42-66-53-78",2,12,,"","Female","Other Relative",36,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Poor academic progress","",,"","","","No",,
"42-66-53-78",3,12,,"","Female","Other Relative",11,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"42-66-53-78",4,12,,"","Male","Other Relative",16,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"42-66-53-78",5,0,"New arrivals - New born","","Male","Other Relative",0,,,"",,"",,"No","Other","still a baby",,"","","",,,
"19-23-31-06",1,12,,"","Female","Wife/Husband",33,"Never Married","Lozi","","Catholic","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"19-23-31-06",2,12,,"","Male","Other Non-Relative",37,"Never Married","Lozi","","Catholic","","Secondary school Year 2","No","I don't Know","",,"","","","No",,
"19-23-31-06",3,12,,"","Female","Child/Adopted Child",11,"Never Married","Lozi","","Catholic","","Primary 5","Yes",,"",,"","","","No",,
"19-23-31-06",4,12,,"","Female","Child/Adopted Child",9,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"19-23-31-06",5,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","he is still a toddler",,"","","",,,
"62-33-60-14",1,12,,"","Male","Self/Head",46,"Married monogamously","Subia","","Other➡️ Please specify","seventh day Adventist","Post secondary tertiary college","No","I don't Know","",,"","","","Yes","Yes","No"
"62-33-60-14",2,12,,"","Female","Wife/Husband",33,"Married monogamously","Lozi","","Other➡️ Please specify","seventh day Adventist","Primary 7","No","Parents did not want","",,"","","","No",,
"62-33-60-14",3,12,,"","Female","Child/Adopted Child",26,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist","Post secondary tertiary college","Yes",,"",,"","","","No",,
"62-33-60-14",4,12,,"","Female","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",1000,"","","",,,
"62-33-60-14",5,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","still young",,"","","",,,
"62-33-60-14",6,12,,"","Female","Child/Adopted Child",20,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"62-33-60-14",7,12,,"","Female","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"62-33-60-14",8,12,,"","Female","Grandchild",2,,,"",,"",,"No","Other","still young for school",,"","","",,,
"62-33-60-14",9,12,,"","Female","Child/Adopted Child",20,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist","Secondary school Year 3","Yes",,"",,"","","","No",,
"62-33-60-14",10,12,,"","Male","Grandchild",2,,,"",,"",,"No","Other","still young for school",,"","","",,,
"62-33-60-14",11,12,,"","Female","Child/Adopted Child",18,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist church","Secondary school Year 2","Yes",,"",,"","","","No",,
"62-33-60-14",12,12,,"","Male","Child/Adopted Child",17,"Never Married","Subia","","Other➡️ Please specify","seventh day Adventist","Primary 8","Yes",,"",,"","","","No",,
"62-33-60-14",13,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"62-33-60-14",14,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"Yes",,"",1000,"","","",,,
"62-33-60-14",15,9,"New arrivals - New born","","Female","Child/Adopted Child",1,,,"",,"",,"No","Other","new born",,"","","",,,
"89-36-04-43",1,3,"Members that left - Other (Specify)","Works in another district in Zambezi Region","Male","Self/Head",44,"Married monogamously","Subia","","Other➡️ Please specify","Seventh Adventist Church","Secondary school Year 4","No","Too expensive","",,"","","","Yes","Yes","No"
"89-36-04-43",2,12,,"","Female","Wife/Husband",48,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"89-36-04-43",3,12,,"","Female","Child/Adopted Child",9,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"89-36-04-43",4,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"87-86-68-37",1,12,,"","Male","Self/Head",59,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"University of Namibia","1996","Diploma in police science","No",,
"87-86-68-37",2,12,,"","Female","Wife/Husband",42,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","Yes",,"",,"","","","No",,
"87-86-68-37",3,12,,"","Female","Child/Adopted Child",19,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Sickness or calamity in family","",,"","","","No",,
"87-86-68-37",4,12,,"","Female","Child/Adopted Child",11,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"87-86-68-37",5,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","Still a kid to attend school",,"","","",,,
"12-94-76-31",1,12,,"","Male","Self/Head",38,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","Yes","Yes","No"
"12-94-76-31",2,12,,"","Female","Wife/Husband",29,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Too expensive","",,"","","","No",,
"12-94-76-31",3,12,,"","Male","Child/Adopted Child",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","Yes",,"",,"","","","No",,
"12-94-76-31",4,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"12-94-76-31",5,12,,"","Male","Child/Adopted Child",5,,,"",,"","No formal education","No","Too expensive","",,"","","",,,
"25-74-03-84",1,12,,"","Male","Self/Head",28,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","Yes","No"
"25-74-03-84",2,12,,"","Female","Wife/Husband",27,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","Yes","Yes","No"
