interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"38-26-42-37",3,12,,"","Female","Child/Adopted Child",11,"Never Married","Subia","","Other➡️ Please specify","Faith","Primary 5","Yes",,"",,"","","","No",,
"38-26-42-37",4,12,,"","Male","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",480,"","","",,,
"38-26-42-37",5,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"38-26-42-37",6,12,,"","Female","Child/Adopted Child",3,,,"",,"",,"No","Other","still young",,"","","",,,
"05-99-34-61",1,12,,"","Male","Self/Head",61,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","University level",,,"",,"University of South Africa","1998","Diploma in Human Resources","No",,
"05-99-34-61",2,12,,"","Female","Wife/Husband",55,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 2","No","Further schooling not available","",,"","","","No",,
"05-99-34-61",3,6,"Members that left - Education","","Male","Child/Adopted Child",36,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Post secondary tertiary college","Yes",,"",,"","","","No",,
"05-99-34-61",4,12,,"","Male","Child/Adopted Child",34,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Primary 7","No","Sickness or calamity in family","",,"","","","No",,
"05-99-34-61",5,9,"New arrivals - To look for work","","Female","Child/Adopted Child",32,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Poor academic progress","",,"","","","No",,
"05-99-34-61",6,9,"Members that left - Education","","Female","Child/Adopted Child",23,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","University level",,,"",,"International University of Management","2023","Human Resources","No",,
"82-77-34-88",1,12,,"","Female","Self/Head",55,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","No","Not willing to attend further","",,"","","","No",,
"82-77-34-88",2,12,,"","Male","Wife/Husband",58,"Married monogamously","Other, Specify","Mbukushu","Other➡️ Please specify","New Apostolic","No formal education","No","Poor academic progress","",,"","","","No",,
