interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"51-32-55-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-85-18-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-01-73-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-31-42-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-41-41-82","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,180,,,,,,,,,,
"86-80-66-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-82-19-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-16-84-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-15-56-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-52-45-97","Yes","Yes",,"Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",,34,,,,,,,,,,
"22-42-05-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-88-76-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-93-26-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-25-20-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-49-46-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-63-35-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-73-88-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-22-40-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-58-33-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-67-71-58","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,260,,,,,,,,,,
"01-61-71-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-50-19-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-26-96-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-20-13-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-53-09-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-20-70-88","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,150,,,,,,,,,,
"14-74-46-71","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,250,,,,,,,,,,
"15-43-32-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-79-94-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-11-35-62","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,150,,,,,,,,,,
"07-05-49-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-21-07-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-59-76-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-87-90-66","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"16-34-09-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-82-50-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-27-41-66","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,130,,,,,,,,,,
"22-81-16-32","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,70,,,,,,,,,,
"54-44-06-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-49-80-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-73-35-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-77-46-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-57-73-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-05-99-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-13-56-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-33-85-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-54-97-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-35-50-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-96-39-45","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-55-26-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-47-96-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-43-28-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-21-15-22","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,200,,,,,,,,,,
"87-15-89-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-26-09-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-05-90-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-85-21-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"91-48-78-65","Yes","Yes",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No",,40,,,,,,,,,,
"32-52-77-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-89-84-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-38-71-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-07-52-84","Yes","Yes",,"Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No",,260,,,,,,,,,,
"77-80-39-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-51-39-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-64-80-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-99-07-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
