interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"57-09-13-31","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",7,15000,"No"
"06-81-92-15",,,,,,,,,,,,"",,,,
"71-51-46-91","No",,,,,,,,,,,"",,20,,"No"
"99-70-86-40",,,,,,,,,,,,"",,,,
"54-72-28-02","No",,,,,,,,,,,"",,20,,"No"
"93-06-95-85","No",,,,,,,,,,,"",,65,,"No"
"44-70-83-36",,,,,,,,,,,,"",,,,
"76-32-33-95",,,,,,,,,,,,"",,,,
"01-38-25-96","No",,,,,,,,,,,"",,2,,"No"
"89-39-79-72",,,,,,,,,,,,"",,,,
"00-49-63-51",,,,,,,,,,,,"",,,,
"76-58-89-37",,,,,,,,,,,,"",,,,
"20-56-52-98",,,,,,,,,,,,"",,,,
"64-47-42-17","No",,,,,,,,,,,"",,.8,,"No"
"13-81-47-95",,,,,,,,,,,,"",,,,
"29-99-72-08","No",,,,,,,,,,,"",,16,,"No"
"24-83-83-50","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",60,2000,"No"
"47-22-90-00",,,,,,,,,,,,"",,,,
"98-86-29-38",,,,,,,,,,,,"",,,,
"38-47-12-60","No",,,,,,,,,,,"",,.1,,"No"
"28-88-27-77","No",,,,,,,,,,,"",,.5,,"No"
"29-11-74-01",,,,,,,,,,,,"",,,,
"23-17-08-61","No",,,,,,,,,,,"",,2,,"No"
"09-04-42-43","No",,,,,,,,,,,"",,30,,"No"
"60-44-87-63","No",,,,,,,,,,,"",,1,,"No"
"37-91-11-53","No",,,,,,,,,,,"",,35,,"No"
"24-83-18-16",,,,,,,,,,,,"",,,,
"43-94-30-73",,,,,,,,,,,,"",,,,
"98-89-20-76","No",,,,,,,,,,,"",,46,,"No"
"18-82-94-56","No",,,,,,,,,,,"",,16,,"No"
"15-08-96-97","No",,,,,,,,,,,"",,20,,"No"
"59-27-01-58",,,,,,,,,,,,"",,,,
"06-40-81-20",,,,,,,,,,,,"",,,,
"63-00-59-35",,,,,,,,,,,,"",,,,
"20-12-20-33",,,,,,,,,,,,"",,,,
"13-16-46-47","No",,,,,,,,,,,"",,30,,"No"
"12-47-95-08",,,,,,,,,,,,"",,,,
"49-36-47-00","No",,,,,,,,,,,"",,110,,"No"
"69-98-34-60",,,,,,,,,,,,"",,,,
"11-55-67-72","No",,,,,,,,,,,"",,.5,,"No"
"86-18-52-98","No",,,,,,,,,,,"",,1,,"No"
"59-98-46-38",,,,,,,,,,,,"",,,,
"87-83-58-77",,,,,,,,,,,,"",,,,
"15-59-01-11","No",,,,,,,,,,,"",,1,,"No"
"74-82-76-84","No",,,,,,,,,,,"",,1,,"No"
