interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"29-63-76-51","Murram/ gravel road","Well passable","Yes","No","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","Yes",
"71-36-35-44","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","No","No","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"20-65-14-78","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","Yes","Yes","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","Yes","No","No",
"60-95-57-22","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,500,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"17-61-49-75","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"02-95-98-52","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","Yes","Yes","No","No",,6,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"77-54-37-57","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"49-81-42-49","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"07-97-99-00","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"61-38-38-57","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","Yes","No","No","No",,"Yes","Yes","No","No","No","No","No",
"80-45-81-35","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
